INCIDENT,I DESCRIPTION,CLASSIFICATION,DAY,MONTH,YEAR,Full date,TIME_OF_INCIDENT,HOUR RANGE,SUBURB,TOWN,VEHICLES__total,WHAT_WAS_BURNING,DESCRIPTION,ACTIONS_OF,EQUIPMENT_,FPA_SUSPEC,DETAILS_OF,PUMPING_TI,DISTRICT,STATIONS,SUBURB_GEO,PRED_DWELL,AMHHI,PRED_LSMGR,PRED_TENURE,PRED_LANGUAGE,PRED_RACE,PRED_AGE,PRED_MARITAL STATUS,PRED_EDUCATION,POPULATION,SUBURB_AREA,STREET,LONGITUDE,LATITUDE
Other,Rubbish/Grass/Bush,"False Alarm, Good Intent",26,October,2009,10/26/2009 12:00:00 AM,0:10,0:00 - 0:30,Mitchell's Plain,Cape Town,00:13|00:15,,False Alarm,Nil,Nil,N/a,False Alarm With Good Intent.,,East,Mitchells Plain,Portland,BrHse_SepStand,10805,LSM 07,Owned Paid In Full,English,Coloured,Age 0 - 4,Unmarried,Secondary,25495,241000,Dagbreek Avenue,18.613631000000002,-34.050111000000001
Transport,Car/Motorcycle,"False Alarm, Good Intent",22,November,2009,11/22/2009 12:00:00 AM,0:10,0:00 - 0:30,Wynberg,South Peninsula,0:12,,Vehicle Fire,,,,Battery Terminals Arching Against Coiled Steel In Car Seats,,West,Wynberg,Wynberg,Flats,21125,LSM 11,Rented,English,Coloured,Age 25 - 29,Unmarried,Secondary,15274,507000,Carabinier Road,18.477689999999999,-34.006503000000002
Residential,Informal,"Fire, manually extinguished",13,December,2009,12/13/2009 12:00:00 AM,0:10,0:00 - 0:30,Khayelitsha,Tygerberg,00:26|00:26|00:26|00:00|00:29,Wood And Iron Structure Alight,Minor Structural Fire,Extinguised Hot Spots With One Fog Jet Frome18 (500lt),1 X Fog Jet,Other,Unknown,0:05,East,"Khayelitsha, Lansdowne",Bongani TR Section,Informal,1933,LSM 01,Occupied,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,8799,696000,Nyamzane Street,18.650269999999999,-34.032004999999998
Miscellaneous,Other,"False Alarm, Good Intent",18,December,2009,12/18/2009 12:00:00 AM,0:10,0:00 - 0:30,Salt River,Cape Town,0:11,,False Alarm,Nil,Nil,,False Alarm With Good Intent Due To Electrical Deparment In Attandance Service Of Brigade Not Required,,West,Salt River,Salt River,BrHse_SepStand,13325,LSM 08,Rented,English,Coloured,Age 20 - 24,Unmarried,Secondary,6941,275000,Goldsmith Road,18.463315000000001,-33.931963000000003
Residential,Informal,"Fire, manually extinguished",16,May,2010,05/16/2010 12:00:00 AM,0:10,0:00 - 0:30,Guguletu,Cape Town,00:25|00:29|00:01|00:01|00:24,"Bed, Bedding And Personal Effects Etc.",Minor Structural Fire,Extinguished With One Jet From Echo 53 Alpha Motor Pump,1 X 45mm & 1 X 65mm Hose,Undetermined,Unknown,0:10,East,"Guguletu, Mitchells Plain",Gugulethu SP,BrHse_SepStand,5263,LSM 05,Owned Paid In Full,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,58328,488000,Ny 72,18.572023000000002,-33.983476000000003
Residential,Informal,"Fire, manually extinguished",2,December,2010,12/02/2010 12:00:00 AM,0:10,0:00 - 0:30,Manenberg,Cape Town,00:29|00:02|00:23|01:21|00:22,Bedding And Personal Effects Etc,,Ensured Areas Safe And Requested Electricity Department.,,Electrical Faults,Suspected Short Circuit In Electrical Wiring Igniting Bedding.,,East,Guguletu,Manenberg,BrHse_SepStand,4164,LSM 05,Rented,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,55809,335000,Plate Road,18.551777999999999,-33.990670000000001
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",8,December,2010,12/08/2010 12:00:00 AM,0:10,0:00 - 0:30,Epping 4,Cape Town,0:57,Bush And Grass,Minor Vegetation Fire,Extinguished Fire With One Line Of Hose From E38 (200 L) Of Water,"1 X 65mm Hose, 1x 45mm Hose And 1 X Akron Branch",Undetermined,Unknown,0:10,North,Melkbos,Montana,BrHse_SepStand,24033,LSM 12,Owned Not Paid Off,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,2936,0.65,Valhalla Drive,18.568366000000001,-33.960926000000001
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",16,December,2010,12/16/2010 12:00:00 AM,0:10,0:00 - 0:30,Bishop Lavis,Tygerberg,00:30|00:30,Building Rubble,Rubbish Fire,Extinguished With One Fog Jet From E47 Motor Pump,1 X Hosereel,Open Flames,People Burning Rubbish,0:10,East,Belhar,Bishop Lavis,BrHse_SepStand,5887,LSM 06,Owned Paid In Full,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,27950,259000,Koppiesdam Road,18.581122000000001,-33.944980999999999
Other,Rubbish/Grass/Bush,"False Alarm, Good Intent",24,December,2010,12/24/2010 12:00:00 AM,0:10,0:00 - 0:30,Vanguard Estate,Cape Town,0:22,,False Alarm,,,,False Alarm With Good Intent Due To Fire Burnt Itself Out Before Arrival Of Brigade And Unable To Locate Site.,,North,Epping,Vanguard,BrHse_SepStand,21026,LSM 11,Owned Paid In Full,English,Coloured,Age 20 - 24,Unmarried,Secondary,2420,0.53,Eendrag Road,18.54365,-33.965383000000003
Residential,Informal,"False Alarm, Good Intent",26,December,2010,12/26/2010 12:00:00 AM,0:10,0:00 - 0:30,Strand,Helderberg,00:34|00:15|00:32|00:07,,,,,,False Alarm With Good Intent,,East|north,"Strand, Epping",Strand SP,BrHse_SepStand,19641,LSM 11,Rented,Afrikaans,White,Age 35 - 39,Married,Secondary,9729,341000,Mili Street,18.830607000000001,-34.112954999999999
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",23,February,2011,02/23/2011 12:00:00 AM,0:10,0:00 - 0:30,Somerset West,Helderberg,1:54,Bush And Grass,Minor Vegetation Fire,Extinguished With One Fogjet From E07,Fogjet,Open Flames,Passerby Dropping A Light,1:00,East,Somerset West,Firgrove Rural,BrHse_SepStand,28935,LSM 13,Rented,Afrikaans,White,Age 25 - 29,Unmarried,Secondary,1204,1921000,Louwry's Sir Lowrys Pass Road,18.813265000000001,-34.077181000000003
Other,Rubbish/Grass/Bush,"False Alarm, Malicious",28,March,2011,03/28/2011 12:00:00 AM,0:10,0:00 - 0:30,Strand,Helderberg,00:32|00:32,,False Alarm,Nil,Nil,,F.A.M,,East,Strand,Strand SP,BrHse_SepStand,19641,LSM 11,Rented,Afrikaans,White,Age 35 - 39,Married,Secondary,9729,341000,Sir Lowry Road,18.830607000000001,-34.112954999999999
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",8,April,2011,04/08/2011 12:00:00 AM,0:10,0:00 - 0:30,Philippi,Cape Town,0:50,Vegetation,Minor Vegetation Fire,Extinguished: With One Fog Jet From E53a Motor Pump,1 X Hosereel,Open Flames,Passer-by Dropping A Light,0:25,East,Guguletu,Philippi SP2,BrHse_SepStand,6581,LSM 06,Occupied,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,6985,3422000,Weltevreden Road ( Continuation Of Duinefontein Road To Vangaurd Drive),18.530878999999999,-34.004941000000002
Residential,Informal,"Fire, manually extinguished",8,July,2011,07/08/2011 12:00:00 AM,0:10,0:00 - 0:30,Wynberg,South Peninsula,00:54|00:57|00:47|01:06,Contents Of Structures,Minor Structural Fire,"Brigade Used One Jet And One Fog Jet To Extinguish Same,","1xfog Jet, Hoses And Branch.",N/a,Unknown.,,West,Wynberg,Wynberg,Flats,21125,LSM 11,Rented,English,Coloured,Age 25 - 29,Unmarried,Secondary,15274,507000,Rosmead Avenue,18.478206,-34.004060000000003
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",18,August,2011,08/18/2011 12:00:00 AM,0:10,0:00 - 0:30,Airport Industria,Tygerberg,00:39|00:42,Vegetation,Minor Vegetation Fire,Extinguish Fire Using Water From B16(800l),1x Fog Jet In Use,Undetermined,Unknown,0:12,East,Belhar,Boquinar Industrial Area,BrHse_SepStand,0,LSM 01,Rented,Afrikaans,Black African,Age 0 - 4,Married,Preschool,0,191000,Manhattan Street,18.583888999999999,-33.970618000000002
Residential,Informal,"Fire, manually extinguished",22,August,2011,08/22/2011 12:00:00 AM,0:10,0:00 - 0:30,Strand,Helderberg,00:43|00:44|00:41|00:41|00:22,Bed Bedding And Personal Effects,Minor Structural Fire,Extinguised Fire Using 1 X Jet From E27,2 X 45mm Hose 1 X Akron Branch,Undetermined,Unknown,0:10,East,"Strand, Somerset West",Strand SP,BrHse_SepStand,19641,LSM 11,Rented,Afrikaans,White,Age 35 - 39,Married,Secondary,9729,341000,Milton Street,18.830607000000001,-34.112954999999999
Residential,Informal,"Fire, manually extinguished",8,November,2011,11/08/2011 12:00:00 AM,0:10,0:00 - 0:30,Dunoon,Blaauwberg,00:44|00:11|00:56|00:30|00:02,Wood And Iron Structures,Minor Structural Fire,Extinguished: One Fog Jet From E55 Motor Pump,One Hosereel,Open Flames,Lighted Candle Overturning And Igniting Bedding,0:15,North,"Milnerton, Melkbos",Dunoon,BrHse_SepStand,2726,LSM 03,Rented,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,30891,0.99,Tulip Street,18.540458000000001,-33.819274
Other,Miscellaneous,"False Alarm, Good Intent",8,January,2012,01/08/2012 12:00:00 AM,0:10,0:00 - 0:30,Bishop Lavis,Tygerberg,0:37,,False Alarm,Nil,Nil,N/a,No Sign Of Fire.,,East,Belhar,Bishop Lavis,BrHse_SepStand,5887,LSM 06,Owned Paid In Full,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,27950,259000,Bird,18.582401999999998,-33.948587000000003
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",16,February,2012,02/16/2012 12:00:00 AM,0:10,0:00 - 0:30,Ravensmead,Tygerberg,0:37,Bush & Grass,Minor Vegetation Fire,1xhosereel From M/p To Bush And Grass Alight,1xhosereel :1xrake,Undetermined,Unknown,0:15,North,Bellville,Ravensmead,BrHse_SepStand,10216,LSM 07,Owned Paid In Full,Afrikaans,Coloured,Age 20 - 24,Unmarried,Secondary,19340,194000,Napier Street,18.606323,-33.923464000000003
Residential,Formal,"Fire, manually extinguished",29,February,2012,02/29/2012 12:00:00 AM,0:10,0:00 - 0:30,Goodwood,Tygerberg,01:10|01:08|00:57|01:13,"Bed, Bedding, Cupboards Personal Effects",Average Structural Fire,Fire Manually Extinguished With Two Jets From E51 Backed Up By W17 And Sreet Hydrant,"3x 65mm And 2x 45mm Fire Hose, Two Branches , Standpipe Key&bar, Ppv, First Floor Ladder, Ceiling Hook And 4x Ba Sets(35 Min)",Electrical Faults,"Suspected Electrical Short Whilst Cellphonewere Charging, Ignighting Curtains And Then Went Into Roof",0:15,North,"Goodwood, Epping",Goodwood Estate,BrHse_SepStand,19962,LSM 11,Owned Not Paid Off,English,White,Age 25 - 29,Married,Secondary,6695,168000,Merriman Road,18.553197000000001,-33.908405999999999
Residential,Formal,"Fire, manually extinguished",3,April,2012,04/03/2012 12:00:00 AM,0:10,0:00 - 0:30,Gordons Bay,Helderberg,01:06|01:02|00:28|00:46,Roofing Timber,Minor Structural Fire,Extingushed The Fire With Garden Hose,Garden Hose (Private),Heating,Radiated Heat From Large Downlight In Ceiling Igniting Roof Timber,,East,"Strand, Somerset West",Gordons Bay SP,BrHse_SepStand,21896,LSM 11,Rented,Afrikaans,White,Age 25 - 29,Married,Secondary,5274,302000,Suikerbossie Drive,18.877126000000001,-34.156393999999999
Residential,Formal,"Fire, manually extinguished",3,May,2012,05/03/2012 12:00:00 AM,0:10,0:00 - 0:30,Lotus River,South Peninsula,00:23|00:15|00:16|00:18,"Bed, Bedding And Personal Effects Etc.",Minor Vegetation Fire,Extinguished With 1 Fog Jet From Echo05 Motor Pump.,One Hose Reel,Undetermined,Unknown Pending S.A.P.S Investigation.,0:05,West,"Ottery, Wynberg",Lotus River,BrHse_SepStand,9775,LSM 07,Rented,English,Coloured,Age 0 - 4,Unmarried,Secondary,40258,501000,Ave 2nd Second Avenue,18.514385000000001,-34.039603999999997
Residential,Informal,"Fire, manually extinguished",20,June,2012,06/20/2012 12:00:00 AM,0:10,0:00 - 0:30,Langa,Cape Town,00:22|00:22|00:15|00:14,"Bed, Bedding, Personal Effects, Etc",Minor Structural Fire,Made Area Safe,Nil,Cooking,"Pot Of Food Left On Stove Setting Bed, Bedding, Personal Effects, Etc Alight",,North,"Epping, Goodwood, Guguletu",Langa SP,Informal,3807,LSM 05,Rented,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,55307,309000,,18.529719,-33.94661
Other,Rubbish/Grass/Bush,"Fire, automatically extinguished",30,December,2012,12/30/2012 12:00:00 AM,0:10,0:00 - 0:30,Blue Downs,Blue Downs,00:26|00:28,,Minor Vegetation Fire,No Services Due To Community Preventing Us From Putting Out The Fire,Nil,Other,Community Setting Bush Alight To Chase Out Thieves.,,East,Mfuleni,Voorbrug,BrHse_SepStand,5201,LSM 05,Owned Paid In Full,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,13192,121000,Rotterdam Road (faureklipfontein Road),18.648325,-33.971772000000001
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",15,January,2013,01/15/2013 12:00:00 AM,0:10,0:00 - 0:30,Dunoon,Blaauwberg,00:55|00:01|00:45,Vegetation,Minor Vegetation Fire,Extinguished With One Fog Jet From E40 Motor Pump And One Fog Jet From S20 Skid Unit,Two Hose Reels,Open Flames,Passerby Dropped A Light,0:23,North,Milnerton,Dunoon,BrHse_SepStand,2726,LSM 03,Rented,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,30891,0.99,N 7,18.540458000000001,-33.819274
Residential,Informal,"Fire, manually extinguished",18,August,2013,08/18/2013 12:00:00 AM,0:10,0:00 - 0:30,Delft,Tygerberg,00:51|00:51|00:20|00:26,1x Wood And Iron Structure Measuring 3x3 Metres.,Minor Structural Fire,Completed Damping Down With 1x Fogjet From E47(700lt.).,Fogjet.,Open Flames,Unattended Candle Fell Over And Set Alight Combustable Material.,0:10,East,Belhar,Delft SP,BrHse_SepStand,3109,LSM 04,Occupied,IsiXhosa,Black African,Age 0 - 4,Unmarried,Secondary,76404,435000,Usuthu Crescent,18.632558,-33.967897999999998
Other,Rubbish/Grass/Bush,"False Alarm, Malicious",7,December,2013,12/07/2013 12:00:00 AM,0:10,0:00 - 0:30,Khayelitsha,Tygerberg,0:25,,False Alarm,No Services Rendered By Brigade,Nil,,False Alarm No Sign Of Fire,,East,Khayelitsha,Bongani TR Section,Informal,1933,LSM 01,Occupied,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,8799,696000,Spine Road,18.650269999999999,-34.032004999999998
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",1,January,2014,01/01/2014 12:00:00 AM,0:10,0:00 - 0:30,Zonnebloem,Cape Town,0:34,Vegetation,Minor Vegetation Fire,Extinguished Fire,1 X Branch; 3 X Hose[65mm And 45mm],Other,Fireworks,0:10,West,Roeland Street,Zonnebloem,Flats,11678,LSM 07,Rented,English,Black African,Age 20 - 24,Unmarried,Secondary,5407,142000,Keizersgracht,18.437455,-33.932802000000002
Commercial,Restaurant/Cafe,"False Alarm, Good Intent",4,February,2014,02/04/2014 12:00:00 AM,0:10,0:00 - 0:30,Southfield,South Peninsula,00:47|00:45|00:43,,,Nil,Nil,N/a,False Alarm With Good Intent Due To Smoke From A Generator Being Mistaken For A Butcher Alight.,,West,Wynberg,Southfield,BrHse_SepStand,22405,LSM 12,Owned Not Paid Off,English,Coloured,Age 35 - 39,Unmarried,Secondary,7500,191000,Victoria Road (m38),18.485524000000002,-34.035997000000002
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",25,February,2014,02/25/2014 12:00:00 AM,0:10,0:00 - 0:30,Somerset West,Helderberg,03:32|03:03,Grass,Average Vegetation Fire,Fire Was Extinguished With One Jet From E16(9000litres) Backed Up By W04a(12000litres),2 X 65mm;3 X 45mm Fire Hose And Nozzle,Open Flames,Passer-by Dropping A Light,2:00,East,"Somerset West, Strand",Firgrove Rural,BrHse_SepStand,28935,LSM 13,Rented,Afrikaans,White,Age 25 - 29,Unmarried,Secondary,1204,1921000,R 102,18.813265000000001,-34.077181000000003
Miscellaneous,Auto Alarm,"False Alarm, Good Intent",26,March,2014,03/26/2014 12:00:00 AM,0:10,0:00 - 0:30,Kalk Bay,South Peninsula,1:27,,False Alarm,Investigated The Entire Building Including Roof Voids / Attics Used As Office And Storage Area As Well As Restaurant Kitchens And Could Not See Nor Detect Any Sign Of Fire. Reported False Alarm Electrical.,Torches And Thermal Imaging Camera.,,False Alarm Electrical.,,West,Fish Hoek,Kalk Bay,BrHse_SepStand,31726,LSM 13,Owned Paid In Full,English,White,Age 55 - 59,Unmarried,Secondary,739,0.32,Main Road (m4),18.449061,-34.12923
Other,Miscellaneous,"Fire, automatically extinguished",4,August,2014,08/04/2014 12:00:00 AM,0:10,0:00 - 0:30,Maitland,Blaauwberg,3:36,Electrical Box,Miscellaneous,Exstinguished With 5 Dry Powders And 3 Co2 Exstinguishers,"1x Bolt Cutter, 5x Dry Powder And 3x Co2 Exstinguishers",Electrical Faults,Electrical Wiring Short Circuiting Igniting Wood.,,North,Brooklyn,Maitland,BrHse_SepStand,10534,LSM 07,Rented,English,Coloured,Age 25 - 29,Unmarried,Secondary,10324,395000,Berkley Rd (between Black River Park Way And Alexander Rd),18.508604999999999,-33.919094999999999
Residential,Informal,"Fire, manually extinguished",11,August,2014,08/11/2014 12:00:00 AM,0:10,0:00 - 0:30,Kuyasa,Khayelitsha,00:48|00:14|00:42|00:15,Bed Bedding And Personal Effects Ect,Average Structural Fire,Extinguished Fire With One Fog Jet From E18 Backed Up By W24a,1 Hose Reel,Other,Unknown Due To Structure Being Completly Destroyed By Fire And Occupants Not Being Home,0:20,East,Khayelitsha,Town 3,BrHse_SepStand,3917,LSM 05,Owned Paid In Full,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,23848,130000,Ntenetya Street,18.685113999999999,-34.065221000000001
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",7,November,2014,11/07/2014 12:00:00 AM,0:10,0:00 - 0:30,Weltevreden Valley,Cape Town,0:21,Vegetation,Minor Vegetation Fire,Extinguished With 1 Fog Jet From E44 (1200),One Hosereel,Other,Passer-by Dropping A Light,0:10,East,Mitchells Plain,Weltevreden Valley,BrHse_SepStand,15533,LSM 09,Owned Not Paid Off,English,Coloured,Age 0 - 4,Unmarried,Secondary,12898,229000,Vanguard Drive|m 7,18.585822,-34.026600999999999
Transport,Other,"Fire, manually extinguished",31,January,2015,01/31/2015 12:00:00 AM,0:10,0:00 - 0:30,Westridge,Mitchell's Plain,00:56|00:45|00:09|00:35,Caravan,Vehicle Fire,Extinguished Fire Using One Fogjet From E53a Motorpump,One Hosereel,Undetermined,Undetermined,0:15,East,"Guguletu, Ottery",Westridge(Mitchells Plain),BrHse_SepStand,9996,LSM 07,Owned Paid In Full,English,Coloured,Age 0 - 4,Unmarried,Secondary,20447,228000,Valencia Way,18.601029,-34.051087000000003
Other,Miscellaneous,"Fire, automatically extinguished",30,March,2015,03/30/2015 12:00:00 AM,0:10,0:00 - 0:30,Nyanga,Cape Town,3:08,Eletrical Wiring Insulation,Miscellaneous,Brigade Secured Area With Cordon Off Tape,Cordon Off Tape,Electrical Faults,Sparks From Short Circuit In Electrical Wiring Igniting Insulation,,East,Guguletu,Nyanga SP,BrHse_SepStand,2910,LSM 03,Occupied,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,27735,105000,Z Memani Avenue,18.582287999999998,-33.987568000000003
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",5,April,2015,04/05/2015 12:00:00 AM,0:10,0:00 - 0:30,Firgrove,Helderberg,01:40|01:03,Vegetation,Minor Vegetation Fire,Extinguished With Two Fog Jets From E23a Motor Pump,2 X Hose Reels,Open Flames,Passer-by Dropping A Light,1:00,East,"Macassar, Strand",Firgrove,BrHse_SepStand,12463,LSM 08,Owned Paid In Full,Afrikaans,Coloured,Age 20 - 24,Unmarried,Secondary,1996,0.63,Macassar Road,18.783778000000002,-34.055551000000001
Other,Rubbish/Grass/Bush,"False Alarm, Good Intent",23,April,2015,04/23/2015 12:00:00 AM,0:10,0:00 - 0:30,Acasia Park - Kensington,Cape Town,01:00|00:51,,False Alarm,,,,,,North,Goodwood,Acacia Park,BrHse_SepStand,28888,LSM 13,Rented,NA,Black African,Age 25 - 29,Unmarried,Secondary,861,344000,N 1 Incoming  (between  N 7 And Sable Road),18.529693000000002,-33.894731
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",22,July,2015,07/22/2015 12:00:00 AM,0:10,0:00 - 0:30,Sir Lowry's Pass,Helderberg,1:05,Tree Stumps,Minor Vegetation Fire,Extinguished With One Fog Jet From Echo 27 Motor Pump,1 X Hosereel,Open Flames,Passer By - Dropping A Light,0:20,East,Strand,City of Cape Town NU,BrHse_SepStand,28268,LSM 13,Occupied,Afrikaans,White,Age 50 - 54,Unmarried,Secondary,1647,18932000,N 2,18.848068999999999,-34.175472999999997
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",21,October,2015,10/21/2015 12:00:00 AM,0:10,0:00 - 0:30,Goodwood,Tygerberg,00:21|00:19|00:19,Tree,Minor Vegetation Fire,Extinguished Fire With One Hosereel From E51 (200l),Hosereel,Open Flames,,0:05,North,"Goodwood, Epping",Goodwood Estate,BrHse_SepStand,19962,LSM 11,Owned Not Paid Off,English,White,Age 25 - 29,Married,Secondary,6695,168000,De Wet Street,18.550933000000001,-33.904729000000003
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",15,November,2015,11/15/2015 12:00:00 AM,0:10,0:00 - 0:30,Modderdam,Tygerberg,00:56|00:54,Area Of Grass Alight,Minor Vegetation Fire,Extinguished Fire With One Jet From E47 Back Up By W17(6000) Of Water,"4 X 45mm Hose, 1 X Akron Branch, 1 65mm Hose",Open Flames,Passerby Dropped A Light,0:45,East,Belhar,Modderdam,Informal,2763,LSM 03,Occupied,IsiXhosa,Black African,Age 0 - 4,Unmarried,Secondary,2631,0.5,35th Street ( Thirty Fifth Street ),18.598693999999998,-33.944285000000001
Transport,Car/Motorcycle,"Fire, manually extinguished",16,November,2015,11/16/2015 12:00:00 AM,0:10,0:00 - 0:30,Burgundy Estate,Cape Town,0:27,Insulation In Electrical Wiring,Vehicle Fire,Make Sure Area Safe,Nil,Undetermined,Electrical Short Circuiting Igniting Insulation,,North,Milnerton,,,0,,,,,,,,0,0,Sienna Drive,0,0
Residential,Formal,"False Alarm, Good Intent",6,December,2015,12/06/2015 12:00:00 AM,0:10,0:00 - 0:30,Observatory,Cape Town,00:22|00:14|00:15,,False Alarm,Informed Electricity Department.,Nil.,,False Alarm With Good Intent Due To Wires Arcing On Top Of Roof From Electricity Pole Been Mistaked For House Alight.,,West,"Salt River, Roeland Street",Observatory,BrHse_SepStand,20978,LSM 11,Rented,English,Black African,Age 20 - 24,Unmarried,NA,9716,310000,Lytton Street,18.465326999999998,-33.937654000000002
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",15,December,2015,12/15/2015 12:00:00 AM,0:10,0:00 - 0:30,Pelikan Park,South Peninsula,0:21,Quantity Of Tyres,Rubbish Fire,Extinguished With 1 Fog Jet,1 X Hose Reel,Open Flames,Passerby Dropping A Light Igniting Tyres,0:15,West,Ottery,Pelikan Park,BrHse_SepStand,12609,LSM 08,Owned Not Paid Off,English,Coloured,Age 0 - 4,Unmarried,Secondary,12012,1508000,Strandfontein Road (m17),18.526454000000001,-34.068237000000003
Other,Rubbish/Grass/Bush,,29,December,2015,12/29/2015 12:00:00 AM,0:10,0:00 - 0:30,Eersterivier,Tygerberg,0:23,,,,,,,,,,De Wijnlanden,BrHse_SepStand,48274,LSM 14,Rented,Afrikaans,White,Age 25 - 29,Married,Tertiary Plus,686,0.74,Cabral Street,18.740114999999999,-34.007533000000002
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",31,December,2015,12/31/2015 12:00:00 AM,0:10,0:00 - 0:30,Salberau,Elsies River,0:29,Rubbish,Rubbish Fire,Extinguished Fire Using 1 X Fog Jet From E40 Motor Pump,1 X Hosereel,Smoking,Passer By Dropping A Light,0:05,North,Epping,Norwood,BrHse_SepStand,9561,LSM 07,Rented,Afrikaans,Coloured,Age 25 - 29,Unmarried,Secondary,3666,0.53,Eclipse,18.573812,-33.928153000000002
Transport,Car/Motorcycle,"Fire, manually extinguished",12,January,2009,01/12/2009 12:00:00 AM,0:11,0:00 - 0:30,Strandfontein,Cape Town,00:12|00:11,Engine Compartmet,Vehicle Fire,Nil,Nil,Undetermined,Undetermined,,East,Mitchells Plain,San Remo,BrHse_SepStand,20132,LSM 11,Owned Not Paid Off,English,Coloured,Age 40 - 44,Unmarried,Secondary,2698,0.29,Capri Way,18.584987000000002,-34.067872000000001
Other,Rubbish/Grass/Bush,"False Alarm, Good Intent",15,January,2009,01/15/2009 12:00:00 AM,0:11,0:00 - 0:30,Elsies Rivier,Cape Town,00:16|00:02|00:15,Vegetation.,False Alarm,False Alarm With Good Intend No Services Rendered.,,Other,,,North,Goodwood,Riverton,BrHse_SepStand,14799,LSM 09,Owned Paid In Full,English,Coloured,Age 20 - 24,Unmarried,Secondary,2430,0.42,Grand Vue Avenue,18.563725000000002,-33.914006000000001
Other,Rubbish/Grass/Bush,"False Alarm, Good Intent",4,February,2009,02/04/2009 12:00:00 AM,0:11,0:00 - 0:30,Strand,Helderberg,0:26,Nil,False Alarm,False Alarm Due To Previous Call,None,N/a,Same Call As Previous Call,,East,Strand,Strand SP,BrHse_SepStand,19641,LSM 11,Rented,Afrikaans,White,Age 35 - 39,Married,Secondary,9729,341000,Sir Lowrys Pass,18.830607000000001,-34.112954999999999
Other,Miscellaneous,"Fire, manually extinguished",19,February,2009,02/19/2009 12:00:00 AM,0:11,0:00 - 0:30,Belhar,Tygerberg,0:57,Rubbish,Rubbish Fire,Extinguished Fires With One Fogjet From E46as Well As Covering With Sand For 5mins,One Hose Reel.Spades.,Undetermined,Unknown,0:10,East,Belhar,Belhar N.T.,BrHse_SepStand,9766,LSM 07,Owned Not Paid Off,Afrikaans,Coloured,Age 20 - 24,Unmarried,Secondary,2604,0.34,Stellenbosch Arterial (m12),18.657662999999999,-33.944057000000001
Other,Miscellaneous,"Fire, automatically extinguished",28,February,2009,02/28/2009 12:00:00 AM,0:11,0:00 - 0:30,Woodstock,Cape Town,0:46,Vegetation,Minor Vegetation Fire,Extinguished With One Fog Jet From E25 M/p,1 X Hose Reel,Open Flames,Passer - By Dropping A Light,0:10,West,Salt River,Woodstock,Semi-detached,15439,LSM 09,Rented,English,Coloured,Age 25 - 29,Unmarried,Secondary,9863,310000,Altona Grove,18.450832999999999,-33.930042999999998
Other,Rubbish/Grass/Bush,"False Alarm, Good Intent",22,December,2009,12/22/2009 12:00:00 AM,0:11,0:00 - 0:30,Steenberg/coniston Park,South Peninsula,0:29,,False Alarm,,,,Smoke From Different Fire Mistaken For Vegetation Fire,,West,Wynberg,Steenberg,BrHse_SepStand,7808,LSM 06,Owned Paid In Full,English,Coloured,Age 20 - 24,Unmarried,Secondary,4398,0.9,Military Road,18.472369,-34.072553999999997
